image_id,file,source,product_name,product_form,difficulty,flower_count,bud_count,damaged_count,order_count,occluded,labeled_by,verified_by
g036,g036.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0051,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0051,lang,,,,,,,,
g037,g037.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0052,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0052,lang,,,,,,,,
g038,g038.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0053,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0053,lang,,,,,,,,
g039,g039.png,BoAnhVang/HOA CHIA BUỒN/KỆ HOA/MÀU VÀNG/KHCB0054,HOA CHIA BUỒN / KỆ HOA / MÀU VÀNG / KHCB0054,lang,,,,,,,,
g040,g040.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/BÓ HOA CHÚC SỨC KHOẺ/BHSK0001,HOA CHÚC SỨC KHOẺ / BÓ HOA CHÚC SỨC KHOẺ / BHSK0001,bo,,,,,,,,
g041,g041.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/BÓ HOA CHÚC SỨC KHOẺ/BHSK0002,HOA CHÚC SỨC KHOẺ / BÓ HOA CHÚC SỨC KHOẺ / BHSK0002,bo,,,,,,,,
g042,g042.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/BÓ HOA CHÚC SỨC KHOẺ/BHSK0003,HOA CHÚC SỨC KHOẺ / BÓ HOA CHÚC SỨC KHOẺ / BHSK0003,bo,,,,,,,,
g043,g043.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/BÓ HOA CHÚC SỨC KHOẺ/BHSK0004,HOA CHÚC SỨC KHOẺ / BÓ HOA CHÚC SỨC KHOẺ / BHSK0004,bo,,,,,,,,
g044,g044.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/BÓ HOA CHÚC SỨC KHOẺ/BHSK0005,HOA CHÚC SỨC KHOẺ / BÓ HOA CHÚC SỨC KHOẺ / BHSK0005,bo,,,,,,,,
g045,g045.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/LẴNG HOA CHÚC SỨC KHOẺ/GHSK0001,HOA CHÚC SỨC KHOẺ / LẴNG HOA CHÚC SỨC KHOẺ / GHSK0001,lang,,,,,,,,
g046,g046.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/LẴNG HOA CHÚC SỨC KHOẺ/GHSK0002,HOA CHÚC SỨC KHOẺ / LẴNG HOA CHÚC SỨC KHOẺ / GHSK0002,lang,,,,,,,,
g047,g047.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/LẴNG HOA CHÚC SỨC KHOẺ/GHSK0003,HOA CHÚC SỨC KHOẺ / LẴNG HOA CHÚC SỨC KHOẺ / GHSK0003,lang,,,,,,,,
g048,g048.jpg,BoAnhVang/HOA CHÚC SỨC KHOẺ/LẴNG HOA CHÚC SỨC KHOẺ/GHSK0004,HOA CHÚC SỨC KHOẺ / LẴNG HOA CHÚC SỨC KHOẺ / GHSK0004,lang,,,,,,,,
g049,g049.jpeg,BoAnhVang/HOA CƯỚI /BHC0001,HOA CƯỚI  / BHC0001,bo,,,,,,,,
g050,g050.jpeg,BoAnhVang/HOA CƯỚI /BHC00010,HOA CƯỚI  / BHC00010,bo,,,,,,,,
g051,g051.jpeg,BoAnhVang/HOA CƯỚI /BHC00011,HOA CƯỚI  / BHC00011,bo,,,,,,,,
g052,g052.jpeg,BoAnhVang/HOA CƯỚI /BHC00012,HOA CƯỚI  / BHC00012,bo,,,,,,,,
g053,g053.jpeg,BoAnhVang/HOA CƯỚI /BHC00013,HOA CƯỚI  / BHC00013,bo,,,,,,,,
g054,g054.jpeg,BoAnhVang/HOA CƯỚI /BHC00014,HOA CƯỚI  / BHC00014,bo,,,,,,,,
g055,g055.jpeg,BoAnhVang/HOA CƯỚI /BHC00015,HOA CƯỚI  / BHC00015,bo,,,,,,,,
g056,g056.jpeg,BoAnhVang/HOA CƯỚI /BHC0002,HOA CƯỚI  / BHC0002,bo,,,,,,,,
g057,g057.jpeg,BoAnhVang/HOA CƯỚI /BHC0003,HOA CƯỚI  / BHC0003,bo,,,,,,,,
g058,g058.jpeg,BoAnhVang/HOA CƯỚI /BHC0004,HOA CƯỚI  / BHC0004,bo,,,,,,,,
g059,g059.jpeg,BoAnhVang/HOA CƯỚI /BHC0005,HOA CƯỚI  / BHC0005,bo,,,,,,,,
g060,g060.jpeg,BoAnhVang/HOA CƯỚI /BHC0006,HOA CƯỚI  / BHC0006,bo,,,,,,,,
g061,g061.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT0001,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT0001,gio,,,,,,,,
g062,g062.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT00010,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT00010,gio,,,,,,,,
g063,g063.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT00011,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT00011,gio,,,,,,,,
g064,g064.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT00012,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT00012,gio,,,,,,,,
g065,g065.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT00013,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT00013,gio,,,,,,,,
g066,g066.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT00014,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT00014,gio,,,,,,,,
g067,g067.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT00015,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT00015,gio,,,,,,,,
g068,g068.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT00016,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT00016,gio,,,,,,,,
g069,g069.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT0002,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT0002,gio,,,,,,,,
g070,g070.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT0003,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT0003,gio,,,,,,,,
g071,g071.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT0004,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT0004,gio,,,,,,,,
g072,g072.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT0005,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT0005,gio,,,,,,,,
g073,g073.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/GIỎ KHAI TRƯƠNG/GHKT0006,HOA KHAI TRƯƠNG / GIỎ KHAI TRƯƠNG / GHKT0006,gio,,,,,,,,
g074,g074.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/CAM/KHKT0001,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / CAM / KHKT0001,lang,,,,,,,,
g075,g075.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/CAM/KHKT0002,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / CAM / KHKT0002,lang,,,,,,,,
g076,g076.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/HỒNG/KHKT0057,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / HỒNG / KHKT0057,lang,,,,,,,,
g077,g077.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/HỒNG/KHKT0058,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / HỒNG / KHKT0058,lang,,,,,,,,
g078,g078.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/HỒNG/KHKT0059,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / HỒNG / KHKT0059,lang,,,,,,,,
g079,g079.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/HỒNG/KHKT0060,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / HỒNG / KHKT0060,lang,,,,,,,,
g080,g080.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/MIX/KHKT0072,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / MIX / KHKT0072,lang,,,,,,,,
g081,g081.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/MIX/KHKT0073,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / MIX / KHKT0073,lang,,,,,,,,
g082,g082.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/MIX/KHKT0074,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / MIX / KHKT0074,lang,,,,,,,,
g083,g083.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/MIX/KHKT0075,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / MIX / KHKT0075,lang,,,,,,,,
g084,g084.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/MIX/KHKT0076,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / MIX / KHKT0076,lang,,,,,,,,
g085,g085.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/MIX/KHKT0077,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / MIX / KHKT0077,lang,,,,,,,,
g086,g086.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/MIX/KHKT0078,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / MIX / KHKT0078,lang,,,,,,,,
g087,g087.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/TRẮNG/KHKT0070,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / TRẮNG / KHKT0070,lang,,,,,,,,
g088,g088.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/VÀNG/KHKT0021,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / VÀNG / KHKT0021,lang,,,,,,,,
g089,g089.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/VÀNG/KHKT0022,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / VÀNG / KHKT0022,lang,,,,,,,,
g090,g090.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/VÀNG/KHKT0023,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / VÀNG / KHKT0023,lang,,,,,,,,
g091,g091.png,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/VÀNG/KHKT0024,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / VÀNG / KHKT0024,lang,,,,,,,,
g092,g092.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/XANH DƯƠNG/KHKT0014,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / XANH DƯƠNG / KHKT0014,lang,,,,,,,,
g093,g093.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/XANH DƯƠNG/KHKT0015,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / XANH DƯƠNG / KHKT0015,lang,,,,,,,,
g094,g094.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/XANH LÁ/KHKT00010,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / XANH LÁ / KHKT00010,lang,,,,,,,,
g095,g095.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/XANH LÁ/KHKT00011,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / XANH LÁ / KHKT00011,lang,,,,,,,,
g096,g096.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/ĐỎ/KHKT0034,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / ĐỎ / KHKT0034,lang,,,,,,,,
g097,g097.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/ĐỎ/KHKT0035,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / ĐỎ / KHKT0035,lang,,,,,,,,
g098,g098.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/ĐỎ/KHKT0036,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / ĐỎ / KHKT0036,lang,,,,,,,,
g099,g099.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/ĐỎ/KHKT0037,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / ĐỎ / KHKT0037,lang,,,,,,,,
g100,g100.jpeg,BoAnhVang/HOA KHAI TRƯƠNG/KỆ KHAI TRƯƠNG/ĐỎ/KHKT0038,HOA KHAI TRƯƠNG / KỆ KHAI TRƯƠNG / ĐỎ / KHKT0038,lang,,,,,,,,
