anh,co_che,model,muc_suy_luan,flower_count,bud_count,damaged_count,nguoi_bud_count,nguoi_damaged_count,so_dong_hoa,so_dong_la,so_dong_phu_kien,so_lop_goi,category,shape,phong_cach,dip_su_dung,confidence,ty_le_day_truong
g009,Gọn,gpt-5.6-terra,high,26,,0,0,0,1,1,3,2,Giỏ hoa,Bán cầu,"Cổ điển, trang trọng","Khai trương, chúc mừng, sinh nhật",70,0.8807
g009,Gọn,gpt-5.6-terra,low,37,8,0,0,0,2,1,3,0,Giỏ hoa,Bán cầu,"Cổ điển, rực rỡ","Chúc mừng, sinh nhật, khai trương",67,0.8908
g010,Đầy đủ,gpt-4o,-,75,0,0,0,0,3,1,1,1,Vòng hoa,Vòng tròn,,Chia buồn,90,0.9353
g010,Đầy đủ,gpt-5.6-luna,high,66,0,0,0,0,5,1,2,2,Vòng hoa,Vòng tròn,"Trang nghiêm, truyền thống",Chia buồn,80,0.914
g010,Đầy đủ,gpt-5.6-luna,low,51,3,0,0,0,5,2,3,2,Vòng hoa,Vòng tròn,"Trang trọng, cổ điển",Chia buồn,82,0.9078
g010,Đầy đủ,gpt-5.6-sol,low,39,0,1,0,0,5,1,5,0,Kệ hoa,Tròn,"Trang trọng, cổ điển",Chia buồn,82,0.8788
g010,Đầy đủ,gpt-5.6-terra,high,73,0,0,0,0,5,1,3,2,Kệ hoa,Vòng tròn,Cổ điển trang trọng,Chia buồn,80,0.899
g010,Đầy đủ,gpt-5.6-terra,low,44,0,0,0,0,4,1,3,0,Vòng hoa,Vòng tròn,"Trang nghiêm, đối xứng",Chia buồn,85,0.9107
g010,Gọn,gpt-4o-mini,-,35,0,0,0,0,3,1,2,1,Bó hoa,Tròn,Cổ điển,Tang lễ,90,0.8833
g010,Gọn,gpt-5.6-luna,high,43,8,0,0,0,4,2,2,4,Vòng hoa,Vòng tròn,"Trang trọng, truyền thống, vòng hoa tang lễ",Chia buồn,78,0.9076
g010,Gọn,gpt-5.6-luna,low,53,4,0,0,0,5,2,2,3,Vòng hoa,Vòng tròn,"Trang nghiêm, truyền thống",Chia buồn,78,0.9141
g010,Gọn,gpt-5.6-sol,high,79,0,0,0,0,5,2,4,4,Vòng hoa,Vòng tròn,"Trang trọng, cổ điển",Chia buồn,70,0.9046
g010,Gọn,gpt-5.6-sol,low,68,4,0,0,0,5,2,3,4,Vòng hoa,Vòng tròn,"Trang trọng, cổ điển",Chia buồn,68,0.9112
g010,Gọn,gpt-5.6-terra,high,90,0,0,0,0,4,1,3,3,Vòng hoa,Vòng tròn,"Trang trọng, tang lễ truyền thống","Chia buồn, phúng viếng",58,0.9158
g010,Gọn,gpt-5.6-terra,low,61,0,0,0,0,5,1,2,3,Vòng hoa,Vòng tròn,"Tang lễ truyền thống, trang trọng","Chia buồn, tang lễ",72,0.9247
